# Processing hw01_instances/ag24_00.txt

# x23 x22 x21 x20 x19 x18 x17 x16 x15 x14 x13 x12 x11 x10 x9 x8 x7 x6 x5 x4 x3 x2 x1 x0 z
  0 1 1 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1
  0 1 1 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1
  0 1 1 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1
  0 1 1 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1
  0 1 1 0 1 0 1 1 0 0 0 1 1 1 0 1 0 0 1 0 0 0 0 0 1
  0 1 1 0 1 0 1 1 0 0 0 1 1 1 0 1 0 0 1 0 0 0 1 0 1
  0 1 1 0 1 0 1 1 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1
  0 1 1 0 1 0 1 1 0 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1
  0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1
  0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1
  0 1 1 0 1 0 1 1 0 1 0 1 1 1 0 1 0 0 1 0 0 0 0 0 1
  0 1 1 0 1 0 1 1 0 1 0 1 1 1 0 1 0 0 1 0 0 0 1 0 1
  0 1 1 0 1 0 1 1 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1
  0 1 1 0 1 0 1 1 1 0 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1
  0 1 1 0 1 0 1 1 1 0 0 0 1 1 0 1 1 0 1 0 0 0 1 0 1
  0 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 1 0 0 0 0 0 1
  0 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 1 0 0 0 1 0 1
  0 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 0 1 0 0 0 1 0 1
